standard,variant
庵,菴
暗,闇
暗,晻
鞍,鞌
岸,㟁
坳,㘭
拗,抝
鰲,鼇
翱,翺
霸,覇
柏,栢
稗,粺
坂,岅
幫,幚
幫,幇
膀,髈
榜,牓
刨,鉋
刨,鑤
褓,緥
寶,寳
褒,襃
備,俻
悖,誖
杯,桮
奔,奔
奔,逩
繃,綳
痺,痹
斃,獘
秘,祕
弊,𡚁
秕,粃
膘,臕
鱉,鼈
癟,㿜
冰,氷
并,竝
稟,禀
缽,盋
缽,鉢
博,愽
駁,駮
脖,𩓐
睬,倸
踩,跴
采,寀
慚,慙
參,㕘
草,艸
操,𢮥
操,撡
冊,册
廁,厠
策,筞
碴,𦉆
查,査
察,詧
插,揷
嘗,甞
腸,膓
場,塲
扯,撦
嗔,瞋
趁,趂
乘,乗
撐,撑
澄,澂
塍,堘
吃,喫
翅,翄
恥,耻
敕,勅
敕,勑
讎,讐
瞅,矁
瞅,𥄨
酬,酧
酬,詶
酬,醻
鋤,鉏
鋤,耡
躕,蹰
櫥,橱
廚,㕑
廚,厨
船,舩
創,剏
創,剙
窗,𥦗
窗,窓
窗,窻
窗,牕
窗,牎
床,牀
唇,脣
春,旾
醇,醕
蠢,惷
淳,湻
蓴,蒓
詞,䛐
辭,辤
糍,餈
鶿,鷀
匆,怱
蔥,葱
湊,凑
蹴,蹵
篡,簒
脆,脃
悴,顇
村,邨
瘩,𤺥
呆,獃
呆,騃
玳,瑇
啖,啗
啖,噉
耽,躭
擋,攩
擣,𢷬
島,㠀
德,惪
凳,櫈
堤,隄
蒂,蔕
蝶,蜨
疊,叠
疊,㬪
疊,曡
喋,啑
碇,椗
碇,矴
動,働
兜,兠
鬥,鬦
鬥,鬪
鬥,鬭
睹,覩
妒,妬
敦,㪟
惇,㥫
遁,遯
墩,墪
朵,朶
垛,垜
跺,跥
額,頟
扼,搤
萼,蕚
峨,峩
鵝,鵞
鵝,䳘
婀,娿
婀,婐
厄,阨
厄,戹
鱷,鰐
齶,腭
訛,譌
恩,㤙
爾,尒
罰,罸
筏,栰
法,灋
法,㳒
琺,珐
繁,緐
翻,飜
翻,繙
凡,凢
帆,㠶
帆,颿
仿,倣
彷,髣
痱,疿
廢,癈
氛,雰
蜂,蠭
蜂,䗬
峰,峯
俯,俛
彿,髴
婦,媍
附,坿
麩,粰
麩,䴸
嘎,嘠
丐,匄
丐,匃
概,槩
贛,贑
贛,灨
稈,秆
乾,亁
乾,乹
幹,榦
肛,疘
皋,皐
皋,臯
槁,槀
糕,餻
稿,稾
閣,閤
胳,肐
歌,謌
亘,亙
耕,畊
躬,躳
夠,够
鉤,鈎
鼓,皷
罣,𦊱
掛,挂
拐,柺
怪,恠
館,舘
罐,鑵
規,槼
瑰,瓌
果,菓
槨,椁
函,圅
悍,猂
焊,釬
焊,銲
捍,扞
嗥,嘷
嗥,獋
蠔,蚝
盍,盇
核,覈
和,咊
恆,恒
鬨,閧
餱,糇
呼,虖
呼,嘑
呼,謼
糊,䊀
話,䛡
花,芲
花,蘤
獾,貛
獾,䝔
歡,懽
歡,讙
歡,驩
浣,澣
恍,怳
晃,㨪
毀,燬
毀,譭
毀,毁
